beginyear,medium,imageurl
1898,print,"https://api.nga.gov/iiif/7a5aae49-e9c9-4302-94ea-f0377abe438c/full/!200,200/0/default.jpg"
1710,print,"https://api.nga.gov/iiif/e421262d-f37c-4cb0-bd98-9b2949001355/full/!200,200/0/default.jpg"
1502,print,"https://api.nga.gov/iiif/4c3574a7-52fc-4f3c-9f10-4f344873c53b/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/b2b7418a-34f5-4014-b2cc-ae93e20bd952/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/af086e44-7b20-44b2-ade6-3a22d3a52089/full/!200,200/0/default.jpg"
1892,print,"https://api.nga.gov/iiif/afa4d557-609d-4c2b-af24-32e6d594bbe6/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/752a2751-baee-4d0f-b095-3295d066a11e/full/!200,200/0/default.jpg"
1845,print,"https://api.nga.gov/iiif/99a7915f-7d29-4663-8b42-a499e270007d/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/ea32be77-7e87-43f7-ac6b-335f7a7219cb/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/129b094f-cd42-43c7-8364-a41f9160edbb/full/!200,200/0/default.jpg"
1894,print,"https://api.nga.gov/iiif/6f25d724-6ebc-43d0-8ba2-ac389beb03f5/full/!200,200/0/default.jpg"
1505,print,"https://api.nga.gov/iiif/d6dcad88-37a8-4d33-a9b3-c6413b4f999c/full/!200,200/0/default.jpg"
1500,decorative art,"https://api.nga.gov/iiif/077b7d49-7c3e-4542-ba98-47634248181d/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/0a4d80d4-4838-42b3-8a54-2e1c74fa49c8/full/!200,200/0/default.jpg"
1862,photograph,"https://api.nga.gov/iiif/1e7ee711-9bda-4b84-aa58-244841f9a44e/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/337aaa4c-aae1-4c71-88af-1321ee2958e3/full/!200,200/0/default.jpg"
1475,print,"https://api.nga.gov/iiif/bb3b0d9f-29de-4be9-9ed3-7b209c14698e/full/!200,200/0/default.jpg"
1640,print,"https://api.nga.gov/iiif/b50c0567-0dba-4b77-bf3a-f763df560748/full/!200,200/0/default.jpg"
1700,print,"https://api.nga.gov/iiif/9a2943d5-ca11-4c0a-9a7d-3b9697e8b797/full/!200,200/0/default.jpg"
1900,print,"https://api.nga.gov/iiif/ae7d97f8-cb4f-4a78-b83a-893e92ab4a86/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/e34e865f-c47a-4c96-a1e7-76e26b298ad2/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/f1661f12-14e7-4099-be48-cbcbb352c94a/full/!200,200/0/default.jpg"
1855,photograph,"https://api.nga.gov/iiif/c77f9232-1057-47bb-af03-bfbb561e9d2c/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/593ed52a-0050-4ed6-9687-a34853474abf/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/0be3e05e-8c19-49af-857c-56461ea4fa0d/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/0fa5fcbc-dcf5-4c39-9497-65625f72459c/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/a520c578-6f44-40d7-a18b-3c8eba551d3e/full/!200,200/0/default.jpg"
1470,sculpture,"https://api.nga.gov/iiif/9ea0c5e1-37a9-4100-95a8-6c1539aa1167/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/6583a812-1635-439d-9c52-bb255f374294/full/!200,200/0/default.jpg"
1475,painting,"https://api.nga.gov/iiif/cec41beb-e9a3-447e-9529-2aa4f5b857ac/full/!200,200/0/default.jpg"
1860,photograph,"https://api.nga.gov/iiif/89a7cf58-d6ae-47ee-94cf-43c796966aec/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/0062f8d9-207c-4605-9286-a61b3c945116/full/!200,200/0/default.jpg"
1755,drawing,"https://api.nga.gov/iiif/a400f711-af09-4002-ad6d-d0fea38ff087/full/!200,200/0/default.jpg"
1879,print,"https://api.nga.gov/iiif/4d44573d-c376-4834-8784-ce097d208582/full/!200,200/0/default.jpg"
